id,country
1,Algeria
2,Argentina
3,Armenia
4,Australia
5,Austria
6,Bahrain
7,Belgium
8,Bolivia
9,Bosnia and Herzegovina
10,Brazil
11,Bulgaria
12,Cameroon
13,Canada
14,China
15,China PR
16,Colombia
17,Costa Rica
18,Cuba
19,Czech Republic
20,Denmark
21,Ecuador
22,Egypt
23,El Salvador
24,England
25,Estonia
26,Finland
27,France
28,Germany
29,Ghana
30,Greece
31,Guatemala
32,Haiti
33,Honduras
34,Hong Kong
35,Hungary
36,Iceland
37,Iran
38,Iraq
39,Israel
40,Italy
41,Ivory Coast
42,Jamaica
43,Japan
44,Korea DPR
45,Korea Republic
46,Lithuania
47,Mexico
48,Morocco
49,Netherlands
50,New Zealand
51,Northern Ireland
52,Oman
53,Palestine
54,Panama
55,Paraguay
56,Peru
57,Portugal
58,Republic of Ireland
59,Romania
60,Russia
61,Saudi Arabia
62,Scotland
63,Serbia
64,Slovakia
65,South Africa
66,Spain
67,Sweden
68,Switzerland
69,Trinidad and Tobago
70,Tunisia
71,Turkey
72,Ukraine
73,United Arab Emirates
74,Uruguay
75,USA
76,Uzbekistan
77,Venezuela
78,Wales
79,Yugoslavia
80,Zambia
